name,state,income,credit_score,spending_habits,investment_preferences
John,Dallas,56000,800,moderate,stocks
Mary,Houston,72000,1000,conservative,real estate
Tom,Austin,48000,500,moderate,stocks
Susan,San Antonio,84000,1200,liberal,real estate
Bob,Fort Worth,92000,1100,liberal,stocks
Jenny,El Paso,42000,300,conservative,real estate
David,Arlington,66000,900,moderate,stocks
Emily,Plano,78000,1000,liberal,real estate
Chris,Katy,38000,400,conservative,stocks
Julie,Irving,52000,700,moderate,real estate
Mike,Round Rock,62000,800,liberal,stocks
Sarah,McKinney,96000,1200,moderate,real estate
Alex,Carrollton,48000,400,conservative,stocks
Stephanie,Garland,86000,1100,liberal,real estate
Matt,Grand Prairie,72000,900,moderate,stocks
Ashley,Pflugerville,44000,300,conservative,real estate
Ryan,Allen,78000,1100,liberal,stocks
Jessica,Lewisville,60000,700,moderate,real estate
Jason,Little Elm,84000,1200,liberal,stocks
Kim,Denton,50000,500,moderate,real estate
Joshua,Southlake,92000,1100,liberal,stocks
Lindsey,Trophy Club,68000,800,moderate,real estate
Keith,Cedar Hill,38000,400,conservative,stocks
Megan,Burleson,58000,600,moderate,real estate
Kevin,Weatherford,72000,900,liberal,stocks
Brenda,Bedford,84000,1200,liberal,real estate
Anthony,Mansfield,66000,800,moderate,stocks
Katie,Colleyville,56000,700,moderate,real estate
Tony,Hurst,48000,500,conservative,stocks
Christina,Flower Mound,92000,1100,liberal,real estate
